,kodPocztowy,lat,lon
37700,95-100,52.61216956582973,18.162861578047355
37800,95-100,52.592950386331154,18.14821838206722
37900,95-100,52.60240618777475,18.15647712754701
38000,95-100,52.63437640114827,18.149413337783226
38100,97-400,52.58728897006573,17.35366643296861
38200,97-400,52.592175601237194,17.3517967237265
38300,97-400,52.59230426237264,17.30481845999583
38400,98-313,52.24756162540151,17.35438369153247
38500,98-313,52.25463864888338,17.347580743205544
38600,98-200,52.17669874040094,17.74218823985193
38700,98-200,52.18257858067806,17.7113114892493
38800,98-200,52.187779694275626,17.757465894616804
38900,97-200,52.97901794972998,17.66217316520075
39000,97-200,52.97711311047839,17.663790244672782
39100,97-200,53.02033715157065,17.575645831869146
39200,97-213,52.99197210176399,17.518272710891647
39300,97-200,52.9706387015086,17.69951266532269
39400,98-332,52.378379314850534,17.128233813884762
39500,98-332,52.37741531451324,17.128597769193117
39600,95-100,52.614896365606576,18.19584924512925
39700,95-100,52.60989232444651,18.212023078442
39800,95-100,52.60288443246288,18.203968352303935
39900,95-100,52.62126958913331,18.178203391688353
40000,97-400,52.60085779377494,17.37662378306544
40100,97-400,52.60327112661815,17.38448723821523
40200,97-400,52.578008744117945,17.368424246653934
40300,97-400,52.61414125068213,17.347359905097395
40400,97-400,52.5897625854539,17.31148806309829
40500,98-338,52.47694830644304,17.064831492739202
40600,98-338,52.474262502960975,17.068471842116956
40700,98-338,52.48080289760359,17.07400686076327
40800,98-200,52.23318318185463,17.749220235770903
40900,95-060,52.80664307714516,18.04808069469296
41000,97-200,52.96953527602248,17.691571730048732
41100,97-213,52.97588999718386,17.53384648269134
41200,97-200,53.01550671797775,17.582531687691077
41300,97-213,52.988991611961126,17.489755790502706
41400,97-213,52.99217637216216,17.53909414540588
41500,97-213,52.99101348075578,17.518895707770774
41600,95-100,52.61907876207275,18.162682048686705
41700,95-100,52.61836324574256,18.17708905882763
41800,95-100,52.5723914452422,18.168706789569956
41900,95-100,52.63140996943574,18.190908047032224
42000,97-400,52.5894543188307,17.3088881700878
42100,97-400,52.576509504594625,17.349420926304003
42200,97-400,52.570388338240704,17.347408211403913
42300,97-400,52.586823025889025,17.33912044296932
42400,97-400,52.58559053454386,17.343936886728326
42500,97-400,52.585656629999654,17.364648788773835
42600,97-400,52.584506122427065,17.37463974204326
42700,97-400,52.58959754067004,17.35475788105653
42800,97-400,52.58071210507264,17.36262809979345
42900,97-400,52.56087332215824,17.387635273828923
43000,98-200,52.19682473790086,17.748113559344457
43100,98-200,52.17809222134202,17.70815382434087
43200,98-200,52.22060246366039,17.779069365095605
43300,95-060,52.83568095216439,18.070054014868596
43400,95-060,52.827129729648256,18.060726483934783
43500,95-060,52.8341944100835,18.08745285501001
43600,95-060,52.82627644126047,18.091909940484726
43700,97-200,52.95733704922941,17.679578568632266
43800,97-200,52.96862080260172,17.674592319644226
43900,97-200,52.946937793305636,17.610464958973594
44000,97-213,52.99537188601695,17.52035898676094
44100,97-200,53.02513546153632,17.57588524026252
44200,97-200,52.96351491642209,17.665949518562943
44300,97-200,52.96428968467744,17.598895020195467
44400,97-200,53.00909457240857,17.584293759283142
44500,95-100,52.62444963377863,18.167161260359798
44600,95-100,52.61589320857203,18.173583632742467
44700,95-100,52.64281384072759,18.1326035862369
44800,95-100,52.614847407786925,18.17646190822069
44900,95-100,52.61169973024153,18.20447019536287
45000,95-100,52.632419374570944,18.150581704669033
45100,97-400,52.57051972390543,17.387536916502423
45200,97-400,52.60115965279123,17.36985646043156
45300,97-400,52.58494894747311,17.3617950890572
45400,97-400,52.57661847288619,17.366557287404916
45500,98-200,52.1945793726911,17.709066367929708
45600,98-200,52.19601368472812,17.75761081050832
45700,95-060,52.827075314101094,18.07069966205446
45800,95-060,52.82315816392398,18.07629705734112
45900,95-060,52.82415280629171,18.079185250336003
46000,95-060,52.80721494810607,18.045239879121432
46100,95-060,52.82285547068686,18.067647722167248
46200,97-200,53.00442954201636,17.576515012948878
46300,97-200,52.9531330249837,17.595585633733236
46400,97-200,52.963248728811564,17.669632153046628
46500,97-213,53.00123413722361,17.489536470343992
46600,97-213,53.00022348670378,17.54045312046606
46700,97-213,52.99956139775205,17.53700447825526
46800,97-213,52.98621770471654,17.547700778173027
46900,97-213,52.99888855706775,17.52501784551679
47000,97-200,53.021715852305945,17.57888597992672
47100,95-100,52.61380774468876,18.163118872940824
47200,97-400,52.57820810237478,17.330539757843937
47300,97-400,52.59894880788358,17.37692655880327
47400,98-200,52.18285582947293,17.74746619162247
47500,98-200,52.17458494549098,17.747653480113115
47600,98-200,52.17706319233341,17.740959023479036
47700,98-200,52.2296291402152,17.742142012590815
47800,95-060,52.819640803240986,18.08806101925441
47900,95-060,52.82275200445041,18.065560042544053
48000,97-213,53.01113228601879,17.502756901045423
48100,95-100,52.629849595850885,18.188723435447596
48200,95-100,52.621646406273626,18.17409294971292
48300,95-100,52.635565548128625,18.133393502424347
48400,97-400,52.59771310117236,17.37427967675155
48500,97-400,52.582587136533796,17.328650720935297
48600,97-400,52.57892245422599,17.371327247778485
48700,95-040,52.85534289344665,17.9339205487847
48800,98-240,52.34400492771959,17.88805177365295
48900,98-200,52.18202593284357,17.749345474923647
49000,98-200,52.17835122256659,17.73925892801782
49100,98-200,52.17787038422961,17.738810807801855
49200,98-200,52.19985355314901,17.743792635049328
49300,95-060,52.836991217116214,18.064883187263085
49400,95-060,52.831932563562546,18.07480057411002
49500,95-060,52.81345825362536,18.072594971717773
49600,95-100,52.623344962997926,18.176025634874623
49700,95-100,52.5996021327454,18.182884694877753
49800,95-100,52.61254774731585,18.192202348182004
49900,97-400,52.592057579245626,17.359871912424243
50000,97-400,52.61210271898259,17.35873455290198
50100,97-400,52.56695912638962,17.381468062916497
50200,98-240,52.348616550816665,17.90169604350434
50300,98-240,52.3516443266541,17.904109103423252
50400,98-240,52.34556973204879,17.88398032019136
50500,98-200,52.19694195508615,17.736892585287855
50600,98-200,52.20189673210626,17.705429521311714
50700,98-200,52.198786781335635,17.72209900896286
50800,98-200,52.160127858062985,17.736339530667507
50900,98-200,52.158423702902006,17.73613144959096
51000,95-100,52.608998058867314,18.180642532548482
51100,95-100,52.63832530332495,18.12917384056233
51200,95-100,52.60217447708174,18.136975950260993
51300,95-100,52.610380370040524,18.179045320286924
51400,95-100,52.61204099766326,18.150975979058913
51500,95-100,52.62877041050635,18.17842201234422
51600,97-400,52.589977897457814,17.356792459773366
51700,97-400,52.58871889637638,17.302558824151713
51800,97-400,52.600650945559956,17.368920702943836
51900,97-400,52.59931327112542,17.36959681632083
52000,97-400,52.591230512624875,17.33741672392754
52100,97-400,52.58612943238344,17.357346191675305
52200,98-240,52.348562769991695,17.89654159203497
52300,98-200,52.1879240300824,17.740551406227663
52400,98-200,52.18766209492558,17.713791921542104
52500,98-200,52.21834384906542,17.778009795058068
52600,95-100,52.604054239387594,18.14427788927494
52700,95-100,52.62433518660559,18.187170596308704
52800,95-100,52.636701518209414,18.1925329581144
52900,95-100,52.61898272227356,18.181482596802507
53000,95-100,52.615639859468736,18.150820220432294
53100,95-100,52.59836080668534,18.192070483229287
53200,97-400,52.59774206329591,17.346473064047135
53300,97-400,52.58042299288064,17.372342908478
53400,97-400,52.59709378797954,17.387592708178147
53500,97-400,52.59876302242182,17.3564731344445
53600,98-240,52.347000924396795,17.898447145138295
53700,98-200,52.19630647434556,17.748381468357277
53800,98-200,52.19817933604928,17.71492937100589
53900,98-200,52.19853191740877,17.734552778374162
54000,95-100,52.62615221365313,18.154445092991082
54100,95-100,52.63018367866193,18.18287335510877
54200,95-100,52.62097437984781,18.185120537720156
54300,97-400,52.58458048420288,17.35345772034405
54400,97-400,52.577830735125296,17.35606305808838
54500,97-400,52.586016520405394,17.35573633695333
54600,98-200,52.15842766758276,17.743852371194144
54700,98-200,52.17683588842967,17.736422547594827
54800,95-100,52.58800236704136,18.1466729836195
